taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Lepidium coronopus,annual,,"tussock, prostrate, herb",,,0.05 m,0.10 m,pubescent,,,,"pinnatisect, pinnatipartite",,"spatulate, obovate, oblanceolate",,,entire,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mm,2.5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000367646
Lepidium didymum,annual,,herb,,,0.15 m,0.40 m,pubescent,,,,"sessile, pinnatisect, pinnatipartite",,"spatulate, oblanceolate",acute,,entire,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1 mm,2 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358253
Lepidium draba,perennial,,herb,,,0.90 m,0.90 m,,,,,,,"ovate, obovate, oblong",,cuneate,,,,,,,,corymb,,,,,,,,,,white,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,deltoid,green,"grey, green",1.0,1.0,1.0,,,1.5 mm,2 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000361312
Lepidium heterophyllum,perennial,,"herb, erect leafy",,,0.15 m,0.45 m,hairy,,,,sessile,,"spatulate, elliptic, oblanceolate",acute,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,anemochory,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358278
Lepidium hirtum,perennial,,"herb, erect leafy",,,0.15 m,0.45 m,hairy,,,,sessile,,"spatulate, elliptic, oblanceolate",acute,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,anemochory,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358263
Lepidium latifolium,,,,,,,,,,,"simple, lobed","sessile, lobed",,"ovate, orbicular, rounded, cordate",acute,"rounded, cuneate, cordate",entire,1 cm,2 cm,5 cm,10 cm,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358409
Lepidium perfoliatum,annual,,herb,,,,,,,,,"asymmetric, pinnatisect, pinnatipartite, sessile",,"ovate, orbicular, rounded",acute,rounded,entire,1 cm,1.5 cm,10 cm,10 cm,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark-brown,,,,1.1 mm,1.5 mm,1.7 mm,2.1 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358744
Lepidium ruderale,annual,,herb,,,0.10 m,0.45 m,"glabrous, hairy",,,"simple, pinnate, lobed","sessile, pinnate, lobed",,oblong,,,entire,0.2 cm,0.2 cm,2.0 cm,2.0 cm,,,,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358755
Lepidium sativum,annual,,herb,,,,,,,,pinnate,"sessile, pinnate",,linear,acute,,entire,,,,,,,,,,,,,,"white, reddish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 mm,1.6 mm,2.5 mm,3 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358699
Lepidium villarsii,perennial,,"herb, erect leafy",,,0.15 m,0.45 m,hairy,,,,sessile,,"spatulate, elliptic, oblanceolate",acute,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,anemochory,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358786
Leucanthemum vulgare,perennial,,herb,,,0.20 m,0.70 m,"hairy, glabrous",,,,"amplexicaul, pinnatipartite, sessile",,"obovate, oblong",,,"crenate, dentate",,,,,"green, purplish",,,,,,,,,"yellow, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grey,5.0,10.0,10.0,,,3 mm,3 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000036932
