taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Perilla frutescens,annual,,,,,,,pubescent,,,,,,"orbicular, ovate, rounded",acute,"rounded, cuneate","crenate, serrulate",5 cm,8 cm,8 cm,10 cm,,,,,,,,,,,,,,,,,,,white,0.4 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000267281
Periploca aphylla,,,shrub,,,1.8 m,3.0 m,,,,,,,"ovate, oblong",acute,,,,,0.6 cm,0.7 cm,,,,,,,,,,,,,,,,,,,"greenish, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 mm,6.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000392109
Periploca calophylla,,,"climber/scrambler, shrub",,,,,,,,,,,"lanceolate, linear","acuminate, cuspidate",,undulate,0.5 cm,1.8 cm,5 cm,12.5 cm,,,,,,,,,,,,,,,,,0.354 cm,0.354 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0 mm,130.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000392112
Periploca hydaspidis,,,"climber/scrambler, shrub",,,0.0015 m,0.0015 m,glabrous,,,,,,"lanceolate, linear",,,,0.1 cm,0.3 cm,4.0 cm,4.0 cm,,,,,,,,,,,,,,,,,0.1 cm,0.15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001102791
Perotis hordeiformis,"perennial, annual",,"erect leafy/tussock, tussock",,,,,pubescent,,,,,,"ovate, lanceolate",,,,0.4 cm,0.75 cm,1.54 cm,5.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889504
Persicaria amphibia,"hydrophyte, perennial",,herb,,,0.30 m,0.80 m,,,,,,,"elliptic, oblong","truncate, acute, obtuse",truncate,,2 cm,4 cm,6 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.5 mm,2.0 mm,2.5 mm,3.3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001101180
Persicaria barbata,annual,,"herb, prostrate",,,0.30 m,0.75 m,"glabrous, ciliate",,,,sessile,,"lanceolate, linear",acuminate,,ciliate,0.25 cm,3.0 cm,1.5 cm,15 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.2 mm,1.5 mm,1.8 mm,2.25 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488084
Persicaria capitata,perennial,,"scrambler, herb, erect leafy",,,0.15 m,0.25 m,"hairy, pubescent",,,,,,"rounded, ovate, orbicular",acute,"rounded, cuneate","serrate, dentate",0.75 cm,2.5 cm,1 cm,4.0 cm,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,0.5 mm,0.75 mm,1 mm,2.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000490463
Persicaria chinensis,perennial,,shrub,,,1 m,1 m,,,,,,,"oblong, ovate, deltoid, linear, deltate","acuminate, truncate, acute",truncate,entire,1 cm,7.5 cm,6 cm,17 cm,,,,,,,,,,"pinkish, white",,,,,,,,,,,,,,,,,,,,7.0,,,0.1 cm,0.15 cm,,,,,,,,,fleshy,,,,,,,,1.5 mm,2 mm,2 mm,4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001245503
Persicaria glabra,perennial,,herb,,,0.5 m,1.5 m,glabrous,,,,,,"elliptic, lanceolate",acuminate,,,1 cm,3.5 cm,18 cm,22 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,2.0 mm,1.5 mm,3.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488415
Persicaria hydropiper,"perennial, annual",,"herb, tussock",,,0.30 m,0.50 m,"ciliate, scabrous, glabrous, pubescent",,,,,,"lanceolate, linear",acuminate,,"scabrous, ciliate",0.4 cm,2 cm,1.5 cm,10 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.5 mm,2.0 mm,2.5 mm,4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488426
Persicaria lapathifolia,annual,,herb,,,0.20 m,0.60 m,"ciliate, tomentose, glabrous, pubescent",,,,,,"lanceolate, linear","acuminate, acute",,"entire, ciliate",0.5 cm,2.5 cm,1.5 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.1 cm,0.1 cm,,,,,,,,,,,,,,,,,1.5 mm,2.0 mm,2 mm,3.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488400
Persicaria longiseta,annual,,herb,,,0.15 m,0.60 m,"glabrous, hairy",,,,,,"orbicular, lanceolate, rounded, elliptic, cordate",acuminate,"rounded, cordate",entire,0.75 cm,3.5 cm,2.5 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001101439
Persicaria maculosa,annual,,herb,,,0.20 m,1.00 m,"glabrous, pubescent",,,,,,"elliptic, lanceolate",acuminate,,entire,0.25 cm,3.5 cm,1.0 cm,14.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.5 mm,1.5 mm,1.8 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488462
Persicaria mitis,annual,,herb,,,0.35 m,0.60 m,"glandular, ciliate",,,,,,"lanceolate, linear",acute,,ciliate,0.3 cm,2.0 cm,2 cm,8.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,0.5 mm,1.5 mm,1.5 mm,3.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488374
Persicaria nepalensis,annual,,herb,,,0.20 m,0.50 m,"glandular, glabrous, hairy",,,,"amplexicaul, sessile",,"lanceolate, ovate, rhomboid, cordate",,cordate,,0.25 cm,0.5 cm,0.65 cm,1.25 cm,,,corymb,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.75 mm,2.0 mm,1.75 mm,2.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488438
Persicaria orientalis,annual,,herb,,,0.50 m,1.50 m,"hairy, strigose",,,,,,"ovate, cordate","acuminate, acute",cordate,entire,1 cm,15 cm,3 cm,25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,0.125 cm,0.125 cm,,,,,,,,,,,,,,,,,1.5 mm,2.5 mm,2 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488434
Persicaria punctata,annual,,herb,,,0.20 m,0.40 m,"pubescent, glandular, glabrous, ciliate, hairy",,,,,,"elliptic, lanceolate","acuminate, acute",,"entire, ciliate",0.4 cm,1.75 cm,1.5 cm,7 cm,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,terminal,,,,,,,,,,,,,0.5 mm,0.5 mm,0.75 mm,1.25 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000488288
Persicaria sinuata,annual,,"herb, prostrate",,,0.15 m,0.45 m,glabrous,,,lobed,lobed,,"spatulate, oblanceolate","acute, obtuse",,,0.75 cm,2.0 cm,0.8 cm,5.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.5 mm,1.5 mm,1.5 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001280178
Persicaria stagnina,"annual, perennial",,herb,,,2.0 m,2.0 m,"tomentose, strigose",,,,sessile,,"elliptic, lanceolate","acuminate, acute",,,1 cm,3 cm,7 cm,15 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0 mm,2.5 mm,2.5 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001280166
Persicaria tenella,annual,,herb,,,0.12 m,0.35 m,"glabrous, pubescent, strigose",,,,sessile,,"orbicular, lanceolate, oblong, rounded, linear",acute,rounded,entire,,,,,,,,,,,,,,"pink, red",,,,,,,,,,,,,,,,,,,,5.0,,,0.05 cm,0.05 cm,,,,,,,,,,,,,,,,,1 mm,1 mm,1.5 mm,1.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001272095
Petalidium barlerioides,,,shrub,,,1.25 m,1.25 m,hairy,,,,,,,,,,,,0.4 cm,1.0 cm,,,,,,,,,,"blue, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001033282
Petrea volubilis,,,"climber/scrambler, shrub",,,6 m,6 m,hairy,,,,,,"oblong, elliptic",acute,,entire,2.5 cm,10 cm,5 cm,20 cm,,,,,,,,,,"violet, blue",,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000267922
Phacelurus speciosus,perennial,,erect leafy/tussock,rhizomatous,,,,"hairy, glabrous, pubescent",,,,"convolute, flat",,,,,flat,0.1 cm,1.5 cm,10 cm,45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889567
Phalaris aquatica,perennial,,"erect leafy/tussock, tussock",,,,,pubescent,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889600
Phalaris arundinacea,perennial,,"erect leafy/tussock, scrambler",,,,,scaley,,,,,,,,,,1.5 cm,1.5 cm,20 cm,20 cm,,,,,,,,,,"yellow, grey, brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889610
Phalaris canariensis,annual,,erect leafy/tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889657
Phalaris minor,annual,,erect leafy/tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,"grey, brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889730
Phalaris paradoxa,annual,,"erect leafy/tussock, tussock",,,,,pubescent,,,,,,,,,,,,,,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889756
Phaseolus lunatus,perennial,,climber,,,,,"glabrous, pubescent",,,trifoliolate,,,,,,,,,1.5 cm,19 cm,,,,,,,,,,,,,,,,,0.15 cm,0.25 cm,"rose, white, yellowish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000183263
Phaseolus pauciflorus,,,"climber/scrambler, scrambler, herb",,,,,"glabrous, pubescent",,,"lobed, trifoliolate",lobed,,"rhomboid, ovate",acuminate,,,,,,,,,,,,,,,,,,,,,,,0.25 cm,0.25 cm,yellow,0.5 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001061650
Phaseolus vulgaris,,,,,,,,,,,trifoliolate,,,ovate,acuminate,,,,,,,,,,,,,,,,,,,,,,,0.2 cm,0.3 cm,"white, purple, yellowish, pale-pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000183282
Phleum alpinum,perennial,,"erect leafy/tussock, tussock",rhizomatous,,,,"glabrous, pubescent",,,,,,,,,,0.8 cm,0.8 cm,17 cm,17 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889952
Phleum arenarium,annual,,erect leafy/tussock,,,,,glabrous,,,,,,,,,,0.15 cm,0.5 cm,13 cm,13 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000889970
Phleum himalaicum,annual,,erect leafy/tussock,,,,,glabrous,,,,,,,,,,0.15 cm,0.5 cm,13 cm,13 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890042
Phleum paniculatum,annual,,erect leafy/tussock,,,,,hairy,,,,,,,obtuse,,,0.3 cm,0.9 cm,19 cm,19 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890075
Phleum pratense,perennial,,tussock,,,,,"scabrous, pubescent",,,,,,,,,,0.3 cm,1.0 cm,45 cm,45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890092
Phlomis cashmeriana,perennial,,erect leafy,,,,,"hairy, tomentose, stellate",,,simple,,,"elliptic, oblong",truncate,truncate,crenulate,2 cm,5 cm,10 cm,20 cm,,,,,,,,,,,,,,,,,1.5 cm,1.5 cm,"rose, purple",2 cm,3 cm,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269229
Phlomis stewartii,perennial,,"shrub, suffrutex",,,,,"hairy, tomentose, stellate",,,,,,"elliptic, oblong",acute,cuneate,crenulate,1 cm,2 cm,4 cm,10 cm,,,,,,,,,,,,,,,,,,,"pink, rise",2 cm,2 cm,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269519
Phlomoides labiosa,,,,,,,,hairy,,,simple,"pinnatipartite, pinnatisect",,"orbicular, rounded",,rounded,entire,,,,,,,,,,,,,,,,,,,,,1.2 cm,1.5 cm,"whitish, yellow",3.0 cm,3.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269647
Phlox drummondii,annual,,,,,0.40 m,0.40 m,"villous, villouse",,,,sessile,alternate,"oblong, lanceolate",acute,,,,,,,,,,,,,,,,,,,,,,,,,,1 cm,1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000484976
Phoenix canariensis,,,tree,solitary plant,trunk,,,,,,,,,,,,,,,500.0 cm,600.0 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,ellipsoid,"yellow, reddish",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269748
Phoenix dactylifera,,,tree,"solitary plant, suckering",,30 m,30 m,glabrous,,,,,,,,,,,,,,,,,,,,,,,"green, white",erect,,,0.2 cm,0.2 cm,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,fleshy,,,"yellowish-brown, brown, reddish",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269752
Phoenix sylvestris,,,tree,suckering,,7.5 m,15 m,glabrous,spinescent,,,,,,,,,,,12 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dioecious,,,,,,,,,,,,,,,,,"yellow, orange",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000269807
Phragmites australis,perennial,,"erect leafy/tussock, scrambler",,,,,glabrous,,,,,,fukufirn,,,,0.8 cm,3.2 cm,20 cm,60 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890172
Phragmites karka,perennial,,"erect leafy/tussock, scrambler",,,,,glabrous,,,,,,fukufirn,attenuate,attenuate,,,,30 cm,80 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890251
Phryma leptostachya,perennial,,herb,,,,,"pubescent, hispid",,flexhy,,,,"ovate, elliptic",acuminate,,serrate,,,,,,,,,,,,,,,,,,,,,,,,0.5 cm,0.7 cm,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000270319
Phyla nodiflora,perennial,,"prostrate, herb, erect leafy",,,,,"glabrescent, pubescent, glabrous",,,,sessile,,"oblanceolate, spatulate, obovate","obtuse, acute",,"serrate, entire",0.4 cm,2.0 cm,0.5 cm,4.0 cm,,,,,,,,,,"white, pinkish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000270345
Phyllanthus emblica,perennial,,"tree, tree/shrub",solitary plant,,,,"glabrous, pubescent",,,,,,"elliptic, linear, orbicular, rounded","obtuse, acute",rounded,,0.1 cm,0.3 cm,0.5 cm,1.6 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,3.0,,,0.08 cm,0.08 cm,,,,,,,,,,,,"yellowish, white, greenish",brown,,,,,,4 mm,6 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000270932
Phyllanthus fraternus,annual,,herb,,,0.80 m,0.80 m,glabrous,,,,,,"elliptic, orbicular, oblong, oblanceolate, spatulate, rounded",obtuse,rounded,,0.15 cm,0.5 cm,0.5 cm,1.3 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,3.0,,,,,,,,,,,,,,,,stramineous,,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000271027
Phyllanthus maderaspatensis,"perennial, annual",,herb,,,0.75 m,0.75 m,glabrous,,,,,,"obovate, orbicular, oblanceolate, spatulate, rounded","obtuse, acute",rounded,,0.2 cm,1 cm,0.7 cm,3 cm,,,,,unisexual,,,,,"yellowish, reddish",,,,,,,,,,,,,,,,,,,monoecious,3.0,,,,,,,,,,,,,,,,,"brown, black",,,,,,1.3 mm,1.3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000271445
Phyllanthus niruri,annual,,herb,,,0.80 m,0.80 m,glabrous,,,,,,"elliptic, orbicular, oblong, oblanceolate, spatulate, rounded",obtuse,rounded,,0.15 cm,0.5 cm,0.5 cm,1.3 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,3.0,,,,,,,,,,,,,,,,stramineous,,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000271623
Phyllanthus parvifolius,,,shrub,,,,,"glabrous, pubescent",,,,,,"orbicular, elliptic, obovate, rounded",obtuse,"cuneate, rounded",,0.15 cm,0.6 cm,0.3 cm,0.9 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,3.0,didymous,,,,,,,,,,,,,,,,brown,,,,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000271748
Phyllanthus reticulatus,,,"tree, shrub, tree/shrub",,,4 m,4 m,"glabrous, pubescent",,flexhy,,,,"oblong, elliptic, orbicular, rounded",obtuse,rounded,,0.4 cm,0.8 cm,1 cm,2 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,5.0,,,,,,,,,,,,,,,,"black, purplish",brownish,,,,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000271947
Phyllanthus urinaria,"perennial, annual",,herb,,,0.30 m,0.30 m,"glabrous, hairy, pubescent, hispid",,,,,,"orbicular, oblong, oblanceolate, spatulate, linear, rounded",,rounded,entire,0.2 cm,0.9 cm,0.5 cm,1.6 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,3.0,,,,,,,,,,,,,,,,"stramineous, reddish",yellowish-brown,,,,1 mm,1 mm,1.3 mm,1.3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000272302
Physalis minima,annual,,,,,0.15 m,0.45 m,"glabrous, pubescent",,,simple,,,"ovate, repand, cordate","acuminate, acute",cordate,"repand, sinuate, dentate",1.5 cm,7 cm,,,,,,,,,,,,,,,,,,,0.25 cm,0.25 cm,yellow,0.5 cm,0.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001024837
Physalis peruviana,,,,,,0.30 m,0.60 m,"villous, villouse, pubescent",,,,,,"ovate, repand",,,"repand, sinuate",3.5 cm,10.5 cm,4.5 cm,14 cm,,,,,,,,,,,,,,,,,0.7 cm,0.9 cm,"yellow, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,2.4 mm,2.4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001024896
Physochlaina praealta,,,herb,,,1 m,1 m,pubescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 cm,1.1 cm,"yellow, greenish, brown",2.0 cm,3.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,"yellow, brownish",,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001025079
Pilea microphylla,annual,,"herb, prostrate",,,,,glabrous,,flexhy,,,,fukufirn,,,,,,0.2 cm,0.3 cm,,,clustered,,,,,,,"yellowish, green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000473246
Pilea umbrosa,perennial,,herb,,,0.40 m,1.50 m,hairy,,,,,,,,,,,,1.5 cm,7 cm,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,"dioecious, monoecious",,,,,,,,,,,,,,,,,,white,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001224047
Pimpinella acuminata,perennial,,,,,1 m,1 m,glabrous,,,pinnate,"sheathing, pinnate",,,,,,,,15 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ovoid, globose",,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001067696
Pimpinella diversifolia,perennial,,,,,1 m,1 m,pubescent,,,"simple, pinnate",pinnate,,"ovate, cordate",,cordate,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001067697
Piptatherum aequiglume,perennial,,"erect leafy/tussock, tussock",,,,,"pubescent, scabrous",,,,flat,,,,,flat,0.5 cm,0.7 cm,30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-1200027056
Piptatherum baluchistanicum,perennial,,"erect leafy/tussock, tussock",,,,,"pubescent, papillose, hairy",,,,flat,,,,,flat,0.1 cm,0.25 cm,5 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890679
Piptatherum gracile,perennial,,"erect leafy/tussock, tussock",,,,,"pubescent, glabrous",,,,flat,,,,,flat,0.1 cm,0.25 cm,6 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000890700
