taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Lathyrus hirsutus,annual,,climber/scrambler,,,,,pubescent,,,,,,"oblong, linear",,,,,,,,,,,,,,,,,,,,,,,,0.45 cm,0.55 cm,"red, purple, bluish",1.0 cm,1.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000212684
Lathyrus inconspicuus,,,,,,,,glabrous,,,,,,lanceolate,acute,,,,,,,,,,,,,,,,,,,,,,,0.4 cm,0.5 cm,"lilac, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,11.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000212688
Lathyrus sativus,,,,,,,,,,,,,,"lanceolate, linear",,,,,,,,,,,,,,,,,,,,,,,,0.7 cm,1.0 cm,"red, white, blue",1.2 cm,2.4 cm,,,,,,,,,,,,,,,,,,,,,,,suture,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000212703
Lathyrus sphaericus,annual,,herb,,,,,glabrous,,,,,,"lanceolate, linear",,,,,,,,,,,,,,,,,,,,,,,,0.5 cm,0.6 cm,"red, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000212706
Lavandula angustifolia,,,shrub,,,,,"hairy, stellate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 cm,0.5 cm,purple,1.0 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224116
Lawsonia inermis,,,shrub,,,2.5 m,2.5 m,,,,,,,"elliptic, ovate, obovate","obtuse, acute, acuminate",,,0.2 cm,2.0 cm,0.8 cm,4.4 cm,,,,,,,,,,,,,,0.4 cm,0.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000366658
Lecanthus peduncularis,annual,,"herb, prostrate",,,0.03 m,0.15 m,glabrous,,succulent,,,,,,,,,,1 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001230610
Leersia oryzoides,perennial,,,rhizomatous,,,,"hispid, scabrous",,,,,,,,,,1.5 cm,1.5 cm,30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000877688
Lemna aequinoctialis,,,free floating,,,,,,,,,,,,,,,,,,,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,26.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224404
Lemna gibba,,,,,,,,,,,,,,,,,,,,,,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224424
Lemna perpusilla,,,free floating,,,,,,,,,,,,,,,,,,,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,26.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224460
Lemna trisulca,,,,,,,,,,,,,,,,,,,,,,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224474
Lemna turionifera,,,,,,,,,,,,,,,,,,,,,,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224476
Leontice leontopetalum,perennial,,herb,,,0.20 m,0.50 m,"pubescent, glabrous",,flexhy,,,alternate,,,,,,,5 cm,15 cm,,,,,,,,,,yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indehiscent,obovoid,,,1.0,4.0,4.0,,,2 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000361311
Leonurus cardiaca,perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 cm,0.5 cm,"rose, white",1.2 cm,1.2 cm,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000224637
Lepechiniella microcarpa,perennial,,,,,,,hairy,,,,,,"spatulate, ovate, oblanceolate",,,,0.8 cm,1.8 cm,2.0 cm,5.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001283688
Lepidagathis calycina,,,,,,0.30 m,0.30 m,pubescent,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,"purple, spotted",1.2 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001281263
Lepidagathis cuspidata,,,,,,1 m,1 m,"glandular, glabrous",,,,,,elliptic,cuspidate,,,0.7 cm,0.9 cm,1.5 cm,2.5 cm,,,,,,,,,,white,,,,,,,,,,1.2 cm,1.6 cm,,purple,,,,,,,,,,,,,,,terminal,,,,,,,ovoid,,,,,,,,2.5 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001033280
Lepidagathis fasciculata,,,"prostrate, herb",,,,,pubescent,,,,,,,,,,,,0.4 cm,2.5 cm,,,,,,,,,,white,,,,,,,,,,0.4 cm,0.4 cm,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,1.5 mm,1.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001033299
Lepidagathis incurva,perennial,,herb,,,0.60 m,0.60 m,glabrous,,,,,,,,,,,,1 cm,2 cm,,,,,,,,,,"white, brown, spotted",,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,terminal,,,,,,,,,,,,,1 mm,1 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001228931
Lepidagathis lutea,,,erect leafy,,,0.15 m,0.50 m,glabrous,,,,sessile,,"linear, lanceolate",acute,,,0.25 cm,0.5 cm,2.5 cm,5 cm,,,,,,,,,,yellow,,,,,,,,,,1.2 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001281262
Lepidagathis rigida,,,,,,1.2 m,1.2 m,glandular,,,,sessile,,"linear, lanceolate","attenuate, acute",attenuate,,0.6 cm,1.5 cm,6 cm,12 cm,,,,,,,,,,white,,,,,,,,,,1.5 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,2.5 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001281217
